form	lemma	POS	morph
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བདག་	བདག་	PRON
དང་	དང་	NO_POS
ཡོན་བདག་	ཡོན་བདག་	NOUN
གི་	གི་	PART
སྡིག་པ་	སྡིག་པ་	VERB
ཞི་བ་	ཞི་བ་	VERB
ར་	ལ་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
ཕྱི་	ཕྱི་	OTHER
།		PUNCT
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
ལྔ་པ་	ལྔ་པ་	NUM
ནི་	ནི་	NO_POS
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
ཡོན་བདག་	ཡོན་བདག་	NOUN
འཁོར་	འཁོར་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
ས་	གིས་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
གདབ་པ་	གདབ་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
༑ ༑		PUNCT
དྲུག་པ་	དྲུག་པ་	NUM
བར་ཆད་	བར་ཆད་	NOUN
བསྲུངས་	བསྲུངས་	NO_POS
ལ་	ལ་	ADP
ཡོན་	ཡོན་	NOUN
བླང་བ་	བླང་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
མཉེས་པ་	མཉེས་པ་	VERB
ཡི་	གིས་	PART
། །		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
། །		PUNCT
ཐ་ན་	ཐ་ན་	NO_POS
བསྙེན་བཀུར་	བསྙེན་བཀུར་	NOUN
ཙམ་	ཙམ་	DET
གྱིས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
༑ ༑		PUNCT
བླ་མ་	བླ་མ་	NOUN
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
མཉེས་པ་	མཉེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
། །		PUNCT
ཞེས་་	ཞེས་པ་	PART
ས་	གིས་	PART
ཡོན་	ཡོན་	NOUN
བླང་	བླང་	NO_POS
ངོ་	ངོ་	PART
། །		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བདུན་པ་	བདུན་པ་	NUM
ནི་	ནི་	NO_POS
།		PUNCT
ཡང་	ཀྱང་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ལ་	ལ་	ADP
མཆོད་	མཆོད་	VERB
ཅིང་	ཅིང་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བླངས་	བླངས་	VERB
ལ་	ལ་	ADP
།		PUNCT
ཆོ་ག་	ཆོ་ག་	NOUN
ལྷག་ཆད་	ལྷག་ཆད་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
བཟོད་པ་	བཟོད་པ་	VERB
ར་	ལ་	PART
གསོལ་	གསོལ་	VERB
ལ་	ལ་	ADP
།		PUNCT
བདག་ཉིད་	བདག་ཉིད་	NOUN
བསྲུངས་	བསྲུངས་	NO_POS
ལ་	ལ་	ADP
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
རྗེས་	རྗེས་	NOUN
ཀྱི་	གི་	PART
བྱ་བ་	བྱ་བ་	VERB
རྣམས་	རྣམས་	DET
ནི་	ནི་	NO_POS
དབང་	དབང་	NOUN
གི་	གི་	PART
ཆུ་བོ་	ཆུ་བོ་	NOUN
བཞིན་	བཞིན་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
སྦྱིན་བདག་	སྦྱིན་བདག་	NOUN
གིས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
བྱ་བ་	བྱ་བ་	VERB
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
མཇུག་	མཇུག་	NOUN
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
"།

།"		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
རྒྱས་པ་	རྒྱས་པ་	VERB
ར་	ལ་	PART
མི་	མི་	PART
ནུས་པ་	ནུས་པ་	VERB
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
སྟ་གོན་	སྟ་གོན་	NOUN
དང་	དང་	NO_POS
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
སྤངས་པ་	སྤངས་པ་	VERB
ཙམ་	ཙམ་	DET
ཉམས་	ཉམས་	NOUN
སུ་	སུ་	ADP
བླང་བ་	བླང་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
རབ་ཏུ་	རབ་ཏུ་	NO_POS
གནས་པ་	གནས་པ་	VERB
འི་	གི་	PART
ལག་	ལག་	NOUN
ཏུ་	ལ་	PART
བླང་བ་	བླང་བ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ཕྱག་ལེན་	ཕྱག་ལེན་	NOUN
ཇི་ལྟ་		
མཛད་པ་	མཛད་པ་	VERB
བཞིན་	བཞིན་	NOUN
དུ་	ལ་	PART
དགེ་བསྙེན་	དགེ་བསྙེན་	NOUN
