form	lemma	POS	morph
དུ་	ལ་	PART
འབྲི་བ་	འབྲི་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
། །		PUNCT
ཤར་ཕྱོགས་	ཤར་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སུམྦྷ་		NON_WORD
ནི་	ནི་	NO_POS
སུམྦྷ་		NON_WORD
ཆེ་གེ་མོ་	ཆེ་གེ་མོ་	ADJ
རཀྵ་		NON_WORD
རཀྵ་		NON_WORD
ཀུ་རུ་	ཀུ་རུ་	NO_POS
ཧུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
༑		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
དུ་	ལ་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	ADP
སྤེལ་ཚིག་	སྤེལ་ཚིག་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
བྱང་ཕྱོགས་	བྱང་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
གྲིཧྣ་		NON_WORD
གྲིཧྣ་		NON_WORD
ཧུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ནུབ་ཕྱོགས་	ནུབ་ཕྱོགས་	NOUN
སུ་	སུ་	ADP
ཨོཾ་	ཨོཾ་	X
གྲིཧྣཱ་པ་	གྲིཧྣཱ་པ་	NON_WORD
ཡ་	ཡ་	NOUN
གྲིཧྣཱ་པ་	གྲིཧྣཱ་པ་	NON_WORD
ཡ་	ཡ་	NOUN
ཧུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
ཕཊ་		NON_WORD
།		PUNCT
ལྷཽར་		NON_WORD
ཨཱ་	ཨཱ་	NO_POS
ན་	ན་	ADP
ཡ་	ཡ་	NOUN
ཧོ་	ཧོ་	NO_POS
།		PUNCT
བྷ་	བྷ་	NO_POS
ག་	ག་	PRON
ཝཱཾ་		NON_WORD
		
ཞ་	ཞ་	OTHER
		
ཝཱན་		NON_WORD
		
བཛྲ་	བཛྲ་	NO_POS
རཱ་	རཱ་	NO_POS
ཛཱ་	ཛཱ་	NO_POS
ཧཱུྃ་		NON_WORD
ཧཱུྃ་		NON_WORD
